iter	RMSE
672	0.7866877028
673	0.7853497305
674	0.7848110282
675	0.7836219032
676	0.7818882981
677	0.7805976074
678	0.7791605698
679	0.7779746897
680	0.7777985694
681	0.7775685022
682	0.776362158
683	0.7749054508
684	0.7738696534
685	0.7725014654
686	0.7712521068
687	0.7695874588
688	0.7679522683
689	0.7677454322
690	0.7665739657
691	0.7650174773
692	0.763896819
693	0.7625828267
694	0.7615096091
695	0.7604109062
696	0.7588839413
697	0.7571909885
698	0.7562965082
699	0.7550637714
700	0.7539255008
701	0.753289424
702	0.751695827
703	0.7505353595
704	0.7490550917
705	0.7482207611
706	0.746664548
707	0.7459462964
708	0.7453559449
709	0.7446679513
710	0.7442828935
711	0.7436020909
712	0.7419586328
713	0.7409829427
714	0.7398178732
715	0.7388457905
716	0.7376890703
717	0.7367255796
718	0.7358486299
719	0.7343321939
720	0.7332352806
721	0.7320282018
722	0.7318385759
723	0.7303835036
724	0.7296951776
725	0.7286782896
726	0.7274799611
727	0.7262440526
728	0.7251713056
729	0.7242800815
730	0.7228602899
731	0.7213115892
732	0.7205011132
733	0.7192557066
734	0.7186098658
735	0.7173244028
736	0.7159912852
737	0.7142665843
738	0.7125557341
739	0.7123436462
740	0.7117259612
741	0.7106601458
742	0.7091222216
743	0.7072513062
744	0.7062332979
745	0.7060329914
746	0.7058320194
747	0.7048368656
748	0.704208825
749	0.7032541205
750	0.7022876397
751	0.7012927344
752	0.6997071417
753	0.699550369
754	0.6978812886
755	0.6970759101
756	0.6958944957
757	0.6957059606
758	0.6950487216
759	0.693664502
760	0.6923548926
761	0.6910031979
762	0.6901308014
763	0.6892923823
764	0.6886084415
765	0.6881886474
766	0.6868844935
767	0.6856003099
768	0.6852719456
769	0.6842670217
770	0.6826506674
771	0.6812706791
772	0.6799823149
773	0.6789314321
774	0.6781348701
775	0.6771230657
776	0.6755990791
777	0.6746534199
778	0.6730636989
779	0.6718556552
780	0.6707424176
781	0.6694746895
782	0.6690960185
783	0.6683714295
784	0.6671636224
785	0.6652053628
786	0.6640986798
787	0.6631871012
788	0.66159228
789	0.6607273669
790	0.6596827999
791	0.6579575145
792	0.6567985085
793	0.655654676
794	0.654349011
795	0.6529659198
796	0.6522561003
797	0.6518981148
798	0.650248332
799	0.6489767629
800	0.6477411107
801	0.6461774829
802	0.6447512395
803	0.6439491393
804	0.6427042161
805	0.6415362179
806	0.6404431214
807	0.6394889406
808	0.6381755478
809	0.6375705618
810	0.6370813092
811	0.6357787386
812	0.6355961285
813	0.6345337926
814	0.6342769572
815	0.6331095737
816	0.6320576216
817	0.6314888019
818	0.6304441297
819	0.6299902329
820	0.628729137
821	0.6280083475
822	0.6268931249
823	0.6255886161
824	0.6243334866
825	0.6233762391
826	0.6222812692
827	0.6213591671
828	0.6202104659
829	0.6190467358
830	0.6177611719
831	0.6165649137
832	0.6155976862
833	0.6147578319
834	0.6140147327
835	0.6138433197
836	0.6131880319
837	0.611811525
838	0.6106381232
839	0.6098577346
840	0.6096946641
841	0.6083496388
842	0.6071982873
843	0.6062901529
844	0.605545421
845	0.6054400716
846	0.6045305864
847	0.6038891043
848	0.6029058494
849	0.6021745066
850	0.6008779686
851	0.5994557738
852	0.5988582958
853	0.5981380373
854	0.5976914135
855	0.5967088728
856	0.5955325542
857	0.5940532741
858	0.5931960197
